customer_id,tenure_months,monthly_charge,contract_type,payment_method,autopay,support_tickets_90d,weekly_usage_hours,num_products,late_payments_12m,discount_active,satisfaction_score,region,churn
CUST-00035,64,84.7,Annual,Credit Card,Yes,2,7.5,1,0,No,4,South,0
CUST-00036,5,36.14,Monthly,PayPal,Yes,2,7.2,3,1,No,1,Northeast,1
CUST-00037,62,55.91,Annual,Debit Card,Yes,1,17.4,3,0,No,3,West,0
CUST-00038,60,51.36,Monthly,Bank Transfer,No,1,9.4,3,0,No,5,Midwest,0
CUST-00039,20,50.19,Two-Year,Credit Card,No,3,15.3,1,1,No,2,West,0
CUST-00040,46,49.94,Monthly,Bank Transfer,Yes,1,2.8,2,0,No,3,Northeast,0
CUST-00041,12,53.93,Two-Year,Credit Card,Yes,1,12.5,2,1,No,4,Northeast,0
CUST-00042,55,67.26,Monthly,PayPal,Yes,1,9.4,1,1,No,3,Northeast,0
CUST-00043,51,76.8,Monthly,Credit Card,No,2,7.1,1,0,No,5,Midwest,0
CUST-00044,26,51.96,Monthly,Credit Card,Yes,1,4.3,3,0,No,5,West,0
CUST-00045,5,66.68,Monthly,Credit Card,No,0,11.1,1,0,No,2,West,0
CUST-00046,70,39.37,Two-Year,PayPal,No,1,10.2,1,0,No,1,South,0
CUST-00047,33,65.79,Two-Year,Credit Card,No,4,11.3,1,2,No,5,South,0
CUST-00048,65,38.28,Two-Year,PayPal,Yes,2,5.7,2,1,No,1,South,0
CUST-00049,49,71.63,Two-Year,Bank Transfer,No,0,13.5,3,0,Yes,3,Northeast,0
CUST-00050,57,91.79,Annual,Credit Card,Yes,2,10.6,1,1,No,3,Midwest,1
CUST-00051,55,49.8,Monthly,Credit Card,Yes,1,6.0,3,0,No,3,Northeast,0
CUST-00052,15,12.53,Annual,Credit Card,No,1,16.4,1,0,No,4,West,0
CUST-00053,27,42.13,Monthly,Credit Card,No,2,8.7,1,1,No,3,South,1
CUST-00054,34,74.17,Annual,Debit Card,Yes,4,2.4,1,0,No,4,Northeast,0
CUST-00055,36,61.96,Monthly,PayPal,Yes,3,6.0,2,0,No,4,Midwest,1
CUST-00056,4,56.48,Annual,Credit Card,Yes,1,13.4,4,0,Yes,1,West,0
CUST-00057,40,70.16,Monthly,Credit Card,No,0,6.1,2,0,Yes,3,West,1
CUST-00058,12,60.72,Monthly,PayPal,Yes,1,7.8,1,0,No,1,Northeast,1
CUST-00059,54,73.92,Monthly,Credit Card,Yes,1,13.6,4,1,Yes,5,South,0
CUST-00060,50,68.55,Monthly,PayPal,Yes,2,6.2,2,1,No,1,Northeast,0
CUST-00061,67,79.39,Monthly,Bank Transfer,No,1,11.7,2,2,No,5,West,1
CUST-00062,54,58.46,Monthly,Credit Card,Yes,0,3.6,3,0,No,5,South,0
CUST-00063,27,68.29,Monthly,Debit Card,Yes,1,9.2,3,2,No,4,Midwest,0
CUST-00064,70,46.47,Annual,PayPal,No,1,8.9,2,1,No,5,South,0
CUST-00065,30,41.17,Monthly,PayPal,Yes,1,9.7,1,0,Yes,3,Northeast,0
CUST-00066,24,82.72,Annual,PayPal,No,2,10.4,1,1,Yes,3,South,0
CUST-00067,66,55.89,Monthly,PayPal,No,1,8.0,3,0,No,2,Midwest,0
CUST-00068,27,66.49,Annual,Debit Card,Yes,1,7.5,2,0,No,4,South,0
CUST-00069,6,54.23,Monthly,Debit Card,No,0,7.8,3,2,Yes,3,South,0
CUST-00070,34,41.44,Monthly,PayPal,No,2,16.1,3,0,Yes,5,South,0
CUST-00071,58,52.2,Monthly,PayPal,Yes,1,8.5,3,1,No,5,Northeast,0
CUST-00072,14,77.85,Annual,PayPal,Yes,1,22.6,1,0,No,4,South,0
CUST-00073,34,61.99,Monthly,Debit Card,No,1,10.3,1,3,No,4,West,0
CUST-00074,10,21.19,Monthly,PayPal,Yes,3,8.5,1,0,No,3,West,0
CUST-00075,50,48.13,Monthly,Credit Card,Yes,3,3.8,1,2,No,2,Midwest,1
CUST-00076,35,84.08,Monthly,Credit Card,Yes,3,12.2,2,0,No,3,Northeast,0
CUST-00077,24,48.15,Monthly,Debit Card,No,2,6.8,2,1,No,4,Northeast,0
CUST-00078,17,19.59,Annual,Credit Card,No,1,13.2,1,2,No,2,South,1
CUST-00079,41,86.07,Monthly,PayPal,No,2,5.1,2,0,No,5,Northeast,0
CUST-00080,49,64.28,Annual,Credit Card,Yes,2,7.8,1,0,Yes,5,Northeast,0
CUST-00081,68,50.74,Monthly,PayPal,No,1,6.6,2,1,No,3,Northeast,0
CUST-00082,32,45.31,Monthly,Debit Card,Yes,2,11.7,2,1,Yes,4,South,0
CUST-00083,12,71.48,Monthly,Credit Card,No,2,16.8,1,1,No,3,Midwest,0
CUST-00084,60,42.24,Monthly,Credit Card,No,1,7.7,2,0,No,4,Northeast,0
CUST-00085,46,72.67,Monthly,Debit Card,Yes,0,6.3,2,0,Yes,5,South,0
CUST-00086,51,61.76,Annual,PayPal,Yes,1,4.0,2,0,No,4,South,0
CUST-00087,8,56.4,Annual,Debit Card,Yes,4,5.9,2,1,No,4,Northeast,0
CUST-00088,23,54.62,Monthly,Credit Card,Yes,3,16.9,1,0,No,2,West,0
CUST-00089,56,48.85,Monthly,Credit Card,No,1,7.8,3,1,No,3,West,0
CUST-00090,60,70.82,Annual,Credit Card,Yes,1,10.1,4,1,No,5,Northeast,0
CUST-00091,32,36.42,Monthly,Credit Card,No,1,3.2,1,2,Yes,5,South,0
CUST-00092,58,22.81,Monthly,Bank Transfer,Yes,0,3.1,1,0,No,4,Northeast,0
CUST-00093,61,63.06,Annual,Credit Card,Yes,2,2.8,3,0,No,2,West,0
CUST-00094,28,63.36,Monthly,Credit Card,No,3,14.6,2,0,No,4,South,0
CUST-00095,65,60.64,Monthly,Bank Transfer,Yes,1,7.9,1,2,No,4,West,0
CUST-00096,21,59.34,Monthly,PayPal,No,3,5.0,2,2,No,4,South,0
CUST-00097,18,46.23,Annual,Debit Card,No,4,12.4,3,3,No,3,Northeast,0
CUST-00098,50,66.17,Monthly,PayPal,Yes,1,6.6,1,1,Yes,5,West,0
CUST-00099,46,51.18,Annual,Bank Transfer,Yes,0,13.2,2,0,No,5,West,0
CUST-00100,11,43.23,Monthly,Credit Card,Yes,2,7.7,3,1,Yes,5,Northeast,1
CUST-00101,60,46.39,Monthly,Credit Card,No,2,13.3,1,0,Yes,5,Northeast,0
CUST-00102,15,88.37,Monthly,Bank Transfer,Yes,0,4.6,3,0,Yes,2,West,0
CUST-00103,58,20.77,Annual,PayPal,No,1,9.9,4,1,No,3,West,0
CUST-00104,1,61.0,Monthly,Bank Transfer,No,0,11.2,2,2,No,5,Midwest,1
CUST-00105,58,21.78,Annual,Credit Card,Yes,2,3.0,2,0,No,4,Northeast,0
CUST-00106,57,50.05,Monthly,Bank Transfer,No,0,7.9,2,0,No,5,Northeast,0
CUST-00107,57,44.19,Monthly,Debit Card,Yes,2,3.9,2,0,Yes,2,Midwest,0
CUST-00108,48,14.47,Monthly,PayPal,Yes,1,3.2,1,0,No,3,Northeast,0
CUST-00109,34,59.0,Monthly,Bank Transfer,Yes,0,6.8,1,0,No,4,Northeast,1
CUST-00110,51,45.16,Monthly,Credit Card,No,0,10.1,1,1,No,3,Northeast,0
CUST-00111,20,14.21,Annual,Credit Card,Yes,1,5.1,1,0,Yes,3,South,0
CUST-00112,57,67.11,Two-Year,PayPal,No,0,7.0,2,2,No,4,Midwest,0
CUST-00113,41,77.83,Annual,Bank Transfer,Yes,0,5.6,3,1,No,5,West,0
CUST-00114,34,78.82,Annual,Credit Card,No,2,12.7,1,2,No,3,Northeast,0
CUST-00115,37,58.46,Monthly,Bank Transfer,No,1,15.2,2,2,Yes,1,West,1
CUST-00116,41,52.83,Annual,Debit Card,No,1,25.0,2,1,No,5,South,0
CUST-00117,3,75.91,Monthly,Debit Card,Yes,1,14.1,2,0,No,4,West,0
CUST-00118,11,82.28,Annual,Debit Card,Yes,0,10.6,2,1,No,4,Midwest,0
CUST-00119,18,72.4,Annual,Bank Transfer,Yes,2,12.7,1,0,Yes,4,South,0
CUST-00120,9,35.05,Monthly,Credit Card,Yes,1,5.6,1,0,Yes,3,West,0
CUST-00121,32,55.62,Two-Year,PayPal,No,0,6.8,1,1,No,2,Midwest,0
CUST-00122,49,59.91,Annual,Credit Card,Yes,0,9.0,4,0,No,5,Midwest,0
CUST-00123,48,19.43,Monthly,Bank Transfer,Yes,1,2.9,4,0,No,3,West,0
CUST-00124,34,60.45,Two-Year,PayPal,No,3,5.3,2,1,No,5,South,0
CUST-00125,62,92.91,Monthly,Credit Card,Yes,0,23.0,2,1,Yes,5,Northeast,0
CUST-00126,41,63.52,Monthly,Credit Card,No,2,6.8,2,2,No,3,Northeast,1
CUST-00127,6,78.52,Monthly,Debit Card,Yes,0,2.6,2,0,Yes,2,South,0
CUST-00128,56,55.29,Annual,Debit Card,Yes,3,6.0,1,0,No,4,West,0
CUST-00129,42,50.68,Monthly,PayPal,No,1,8.7,1,0,Yes,5,West,0
CUST-00130,46,58.86,Two-Year,PayPal,Yes,0,10.3,1,1,No,1,South,0
CUST-00131,41,37.32,Monthly,Debit Card,No,1,7.7,4,1,No,4,Midwest,0
CUST-00132,40,34.65,Monthly,PayPal,Yes,0,9.7,2,0,No,3,South,0
CUST-00133,7,74.79,Annual,Debit Card,Yes,0,5.3,2,2,Yes,1,West,0
CUST-00134,41,76.7,Monthly,Credit Card,Yes,0,15.4,3,1,No,3,South,1
CUST-00135,58,34.16,Annual,Credit Card,Yes,2,13.6,2,1,Yes,2,South,0
CUST-00136,22,69.42,Monthly,Debit Card,No,1,2.3,2,0,No,3,West,0
CUST-00137,44,50.43,Two-Year,PayPal,Yes,6,4.2,3,1,No,4,West,0
CUST-00138,3,58.12,Annual,Credit Card,Yes,2,12.4,1,1,Yes,3,Midwest,0
CUST-00139,26,60.28,Monthly,PayPal,No,2,9.3,1,0,No,3,South,0
CUST-00140,32,69.9,Monthly,Credit Card,Yes,0,9.1,2,1,Yes,4,Northeast,0
CUST-00141,71,53.49,Monthly,PayPal,No,1,8.4,1,0,No,5,South,0
CUST-00142,16,77.38,Two-Year,Credit Card,Yes,1,14.1,2,0,No,4,South,0
CUST-00143,20,57.57,Annual,Debit Card,No,2,9.2,3,0,No,4,West,0
CUST-00144,30,63.24,Monthly,Credit Card,Yes,1,10.3,3,0,No,3,Midwest,0
CUST-00145,72,37.0,Monthly,Debit Card,Yes,2,8.5,1,0,No,5,West,0
CUST-00146,62,90.86,Two-Year,Credit Card,Yes,2,4.5,1,1,Yes,2,Northeast,0
CUST-00147,3,60.46,Monthly,Debit Card,Yes,1,12.9,4,0,No,2,South,0
CUST-00148,17,64.83,Annual,PayPal,Yes,0,6.5,3,1,No,1,West,0
CUST-00149,60,23.05,Annual,Credit Card,Yes,5,6.4,1,3,Yes,2,South,1
CUST-00150,5,37.19,Monthly,PayPal,No,0,7.2,3,0,Yes,4,Northeast,0
CUST-00151,62,74.28,Monthly,PayPal,Yes,0,3.6,3,1,Yes,5,West,0
CUST-00152,21,57.16,Monthly,Debit Card,No,1,21.1,1,1,No,4,Northeast,0
CUST-00153,67,17.55,Monthly,PayPal,Yes,1,12.4,1,0,No,3,South,0
CUST-00154,22,70.69,Two-Year,Debit Card,Yes,1,4.3,3,0,No,5,Midwest,0
CUST-00155,32,42.21,Annual,PayPal,Yes,2,17.6,2,1,No,3,Northeast,0
CUST-00156,48,77.4,Annual,PayPal,Yes,3,5.8,2,2,No,4,West,0
CUST-00157,10,50.42,Monthly,PayPal,No,0,6.4,4,0,No,4,South,0
CUST-00158,41,55.68,Monthly,Credit Card,Yes,1,5.8,3,3,No,4,South,0
CUST-00159,37,73.22,Annual,PayPal,No,0,15.8,1,1,Yes,2,West,0
CUST-00160,57,35.85,Monthly,Credit Card,Yes,3,14.4,2,0,No,5,Northeast,0
CUST-00161,72,34.13,Monthly,Debit Card,Yes,1,7.3,3,1,No,3,South,0
CUST-00162,48,48.46,Monthly,Credit Card,Yes,0,7.7,1,0,No,4,South,0
CUST-00163,30,66.89,Annual,Credit Card,No,2,12.1,1,1,No,1,Northeast,0
CUST-00164,30,28.04,Annual,PayPal,Yes,1,11.9,3,0,No,4,South,0
CUST-00165,31,21.98,Monthly,Bank Transfer,No,2,7.9,3,2,No,5,South,0
CUST-00166,59,66.83,Two-Year,Credit Card,Yes,3,8.1,1,1,No,4,West,0
CUST-00167,24,41.15,Monthly,PayPal,Yes,1,12.5,1,0,Yes,3,South,0
CUST-00168,13,44.94,Monthly,PayPal,No,0,2.7,3,1,Yes,4,South,1
CUST-00169,25,18.58,Monthly,Bank Transfer,Yes,2,10.0,1,0,No,5,Midwest,0
CUST-00170,2,39.78,Annual,PayPal,No,2,9.6,1,0,No,2,Northeast,0
CUST-00171,8,51.86,Monthly,Credit Card,Yes,0,15.9,3,1,No,1,Northeast,0
CUST-00172,7,68.75,Monthly,Credit Card,No,1,10.5,3,0,No,4,South,1
CUST-00173,56,38.12,Monthly,PayPal,Yes,2,11.1,2,0,No,3,Midwest,0
CUST-00174,53,81.83,Annual,Credit Card,No,1,5.4,2,1,Yes,1,South,0
CUST-00175,51,39.68,Annual,Bank Transfer,Yes,1,5.6,2,0,No,4,Northeast,0
CUST-00176,34,39.7,Monthly,Bank Transfer,No,3,9.8,1,1,No,4,Midwest,0
CUST-00177,52,79.67,Two-Year,Bank Transfer,Yes,2,1.9,4,0,No,3,Midwest,0
CUST-00178,12,55.81,Monthly,Credit Card,No,4,6.7,2,1,No,3,West,1
CUST-00179,65,42.06,Monthly,PayPal,No,2,3.8,2,1,No,3,West,0
CUST-00180,37,49.21,Annual,PayPal,No,0,5.8,2,0,Yes,2,Midwest,0
CUST-00181,68,76.36,Annual,Credit Card,Yes,2,2.3,2,0,Yes,5,South,0
CUST-00182,11,78.39,Monthly,Credit Card,Yes,2,4.1,1,2,No,1,West,1
CUST-00183,36,37.3,Monthly,Credit Card,No,2,15.0,2,1,No,1,Midwest,0
CUST-00184,51,51.24,Monthly,Debit Card,Yes,0,3.9,2,2,Yes,5,Northeast,0
CUST-00185,36,53.62,Monthly,Bank Transfer,No,3,4.8,3,0,No,4,West,0
CUST-00186,33,34.25,Annual,Bank Transfer,Yes,1,6.1,3,0,Yes,5,Northeast,0
CUST-00187,12,51.0,Two-Year,Credit Card,Yes,4,11.1,1,0,Yes,4,West,0
CUST-00188,28,52.1,Monthly,Debit Card,Yes,1,7.2,2,1,Yes,5,West,0
CUST-00189,18,72.52,Annual,Credit Card,No,1,2.8,1,1,No,3,Northeast,0
CUST-00190,22,73.73,Annual,Credit Card,Yes,0,2.1,2,0,Yes,4,Northeast,0
CUST-00191,50,46.07,Monthly,Credit Card,Yes,3,6.7,3,0,Yes,3,West,0
CUST-00192,46,48.15,Monthly,PayPal,No,0,7.1,3,0,Yes,4,West,0
CUST-00193,44,63.96,Two-Year,PayPal,Yes,2,12.9,1,1,No,2,Midwest,0
CUST-00194,27,41.47,Monthly,Bank Transfer,No,1,4.1,2,0,Yes,4,South,1
CUST-00195,70,62.6,Annual,Bank Transfer,Yes,2,16.9,1,0,No,4,West,0
CUST-00196,7,50.42,Monthly,Credit Card,Yes,1,2.8,1,1,Yes,1,Midwest,1
CUST-00197,25,34.55,Annual,PayPal,Yes,0,2.8,1,0,No,2,West,0
CUST-00198,9,34.78,Monthly,Credit Card,Yes,3,6.5,2,0,Yes,4,South,1
CUST-00199,25,78.05,Two-Year,Debit Card,No,1,12.7,2,0,No,4,South,0
CUST-00200,70,49.18,Annual,Debit Card,Yes,0,9.0,2,1,Yes,4,Midwest,0
CUST-00201,27,81.53,Monthly,Credit Card,Yes,0,4.0,2,0,No,4,Midwest,0
CUST-00202,66,42.75,Annual,Credit Card,Yes,0,21.7,1,0,Yes,4,Northeast,0
CUST-00203,36,57.24,Annual,Credit Card,No,1,8.8,2,1,Yes,3,Northeast,0
CUST-00204,51,95.07,Monthly,Credit Card,No,1,9.3,1,1,No,4,West,0
CUST-00205,33,32.97,Monthly,Bank Transfer,Yes,0,12.0,1,1,No,3,Midwest,0
CUST-00206,20,17.84,Annual,Credit Card,Yes,2,9.5,2,1,No,4,Northeast,0
CUST-00207,56,75.16,Annual,Debit Card,Yes,1,5.9,1,2,No,2,South,0
CUST-00208,70,37.12,Monthly,Bank Transfer,No,2,18.3,2,0,No,4,West,0
CUST-00209,19,51.63,Two-Year,PayPal,Yes,2,16.0,3,0,No,4,Northeast,0
CUST-00210,57,41.45,Monthly,Debit Card,Yes,1,20.0,1,1,No,3,Midwest,0
CUST-00211,19,56.83,Monthly,Bank Transfer,No,1,6.3,3,1,Yes,5,South,0
CUST-00212,52,34.89,Annual,Credit Card,Yes,4,17.9,1,1,Yes,1,West,0
CUST-00213,57,48.76,Monthly,Credit Card,No,2,3.9,3,1,Yes,3,Midwest,0
CUST-00214,33,60.1,Monthly,Debit Card,Yes,0,8.0,1,1,No,4,Midwest,0
CUST-00215,54,33.85,Monthly,Debit Card,No,0,11.8,4,0,No,5,Midwest,0
CUST-00216,20,39.4,Monthly,PayPal,Yes,2,3.3,1,2,Yes,2,West,0
CUST-00217,6,45.75,Monthly,Credit Card,Yes,2,19.2,4,0,No,2,South,0
CUST-00218,7,26.28,Annual,PayPal,Yes,2,5.9,1,2,No,4,Northeast,0
CUST-00219,33,44.39,Monthly,PayPal,Yes,1,16.4,2,1,No,3,South,0
CUST-00220,65,54.14,Annual,Bank Transfer,No,4,3.6,1,0,Yes,4,West,0
CUST-00221,10,44.81,Annual,Credit Card,Yes,0,7.9,1,1,No,5,Midwest,0
CUST-00222,33,47.12,Monthly,Credit Card,Yes,1,5.2,1,1,Yes,3,Northeast,0
CUST-00223,51,51.64,Monthly,Bank Transfer,No,1,5.3,1,0,Yes,1,South,0
CUST-00224,15,40.2,Annual,PayPal,Yes,1,3.8,2,1,No,4,Midwest,0
CUST-00225,52,64.44,Monthly,Credit Card,No,1,3.7,2,3,Yes,4,Northeast,0
CUST-00226,23,77.85,Monthly,Credit Card,No,1,4.2,2,1,No,4,Midwest,1
CUST-00227,59,43.64,Annual,PayPal,Yes,1,4.1,2,1,Yes,5,Northeast,0
CUST-00228,42,60.73,Annual,PayPal,No,2,14.5,1,2,No,5,Midwest,0
CUST-00229,40,47.69,Annual,PayPal,No,3,15.7,2,1,No,2,South,0
CUST-00230,13,58.58,Monthly,Bank Transfer,No,0,3.2,3,1,No,5,South,1
CUST-00231,34,80.18,Monthly,Credit Card,Yes,3,6.9,1,0,Yes,4,Northeast,0
CUST-00232,62,61.16,Monthly,Credit Card,Yes,0,14.3,3,1,Yes,5,Midwest,0
CUST-00233,2,20.08,Annual,PayPal,No,2,11.0,1,3,Yes,4,Midwest,0
CUST-00234,55,60.17,Monthly,Bank Transfer,No,1,6.6,2,1,Yes,5,West,0
CUST-00235,36,74.19,Monthly,Credit Card,Yes,3,5.4,3,1,Yes,5,Midwest,0
CUST-00236,52,48.01,Monthly,PayPal,Yes,1,3.3,2,1,No,3,Midwest,0
CUST-00237,48,69.92,Annual,Credit Card,No,1,18.6,2,1,No,4,South,0
CUST-00238,32,39.58,Annual,Credit Card,No,0,9.4,1,1,No,4,Northeast,0
CUST-00239,23,25.26,Monthly,Bank Transfer,No,1,8.5,2,1,No,4,Midwest,0
CUST-00240,46,54.54,Monthly,Credit Card,No,1,4.5,2,0,No,2,Northeast,0
CUST-00241,11,20.38,Monthly,Credit Card,Yes,2,7.5,4,0,No,1,Midwest,1
CUST-00242,43,47.68,Monthly,PayPal,No,3,14.5,3,1,No,3,Northeast,0
CUST-00243,7,75.16,Monthly,Debit Card,Yes,4,3.0,1,1,Yes,4,Northeast,0
CUST-00244,47,17.62,Monthly,Debit Card,Yes,1,4.5,2,0,Yes,4,South,0
CUST-00245,46,28.97,Annual,PayPal,Yes,2,3.5,2,0,Yes,4,West,0
CUST-00246,7,33.42,Annual,Credit Card,No,3,16.5,2,0,No,2,Midwest,0
CUST-00247,55,50.86,Two-Year,PayPal,Yes,1,2.9,1,1,Yes,5,Midwest,0
CUST-00248,30,45.42,Two-Year,Credit Card,Yes,1,9.1,3,0,No,4,West,0
CUST-00249,57,77.18,Monthly,Credit Card,Yes,0,3.5,2,0,Yes,5,South,0
CUST-00250,3,69.18,Monthly,PayPal,Yes,1,8.6,1,1,No,5,Midwest,0
CUST-00251,13,60.91,Monthly,Credit Card,Yes,1,3.4,1,0,No,5,South,0
CUST-00252,36,54.62,Annual,Bank Transfer,Yes,0,5.6,2,0,Yes,4,West,0
CUST-00253,14,59.08,Monthly,Bank Transfer,Yes,3,18.0,3,0,Yes,4,Midwest,0
CUST-00254,24,36.48,Monthly,Bank Transfer,Yes,0,10.1,1,2,No,4,South,0
CUST-00255,48,67.43,Monthly,Debit Card,No,5,8.3,1,0,No,3,South,0
CUST-00256,11,31.98,Monthly,Credit Card,No,2,9.7,1,0,No,5,Midwest,0
CUST-00257,49,67.04,Annual,Bank Transfer,No,3,18.8,2,0,Yes,4,South,0
CUST-00258,8,73.35,Annual,Debit Card,Yes,3,8.6,2,0,No,4,Northeast,0
CUST-00259,13,55.8,Monthly,PayPal,Yes,1,13.9,1,0,Yes,4,Midwest,0
CUST-00260,43,48.83,Two-Year,PayPal,Yes,2,14.2,3,0,No,4,Midwest,0
CUST-00261,58,59.21,Monthly,Credit Card,No,3,13.1,1,0,No,4,Northeast,0
CUST-00262,13,10.0,Monthly,Credit Card,Yes,1,25.8,3,0,Yes,1,South,0
CUST-00263,22,57.44,Monthly,PayPal,Yes,0,11.2,3,0,No,3,Midwest,0
CUST-00264,67,49.96,Annual,PayPal,No,0,13.4,1,0,Yes,5,Northeast,0
CUST-00265,72,51.09,Annual,Credit Card,No,2,5.7,3,1,Yes,4,West,0
CUST-00266,42,64.72,Monthly,PayPal,Yes,1,8.0,2,0,No,2,South,0
CUST-00267,33,50.65,Two-Year,PayPal,No,4,7.7,3,1,Yes,3,South,0
CUST-00268,25,31.48,Monthly,Debit Card,Yes,3,4.5,1,0,No,4,West,0
CUST-00269,45,49.45,Monthly,Credit Card,Yes,1,4.8,3,1,No,5,Midwest,0
CUST-00270,43,53.22,Annual,PayPal,Yes,2,7.7,2,1,No,5,West,0
CUST-00271,22,54.07,Two-Year,PayPal,No,0,8.9,1,1,Yes,1,West,1
CUST-00272,2,54.91,Annual,Bank Transfer,Yes,0,18.4,4,0,Yes,3,South,0
CUST-00273,11,70.71,Two-Year,Credit Card,No,0,4.5,4,0,No,1,South,0
CUST-00274,70,32.45,Monthly,Bank Transfer,Yes,0,4.3,1,0,No,2,West,0
CUST-00275,31,55.16,Annual,PayPal,No,0,3.1,2,0,No,4,Northeast,0
CUST-00276,35,75.22,Annual,PayPal,No,1,12.2,4,1,No,4,South,0
CUST-00277,34,20.78,Monthly,Credit Card,No,2,20.7,2,0,No,5,Midwest,0
CUST-00278,57,55.23,Monthly,Credit Card,No,2,7.4,2,1,No,2,West,1
CUST-00279,5,41.46,Two-Year,Debit Card,No,2,9.1,1,1,No,3,Midwest,0
CUST-00280,6,45.33,Monthly,Credit Card,No,1,7.5,2,1,No,4,Northeast,1
CUST-00281,20,35.71,Monthly,Credit Card,Yes,0,11.5,2,1,No,4,Midwest,0
CUST-00282,36,48.95,Two-Year,Bank Transfer,No,0,3.9,2,1,Yes,3,Midwest,0
CUST-00283,49,85.14,Two-Year,Credit Card,Yes,2,10.2,2,1,No,2,Northeast,0
CUST-00284,36,29.24,Two-Year,Bank Transfer,Yes,2,7.5,2,1,No,4,South,0
CUST-00285,32,30.95,Two-Year,Debit Card,Yes,1,12.4,1,0,No,3,South,0
CUST-00286,68,28.57,Monthly,Bank Transfer,Yes,2,12.2,3,0,Yes,4,Midwest,0
CUST-00287,12,83.09,Two-Year,Credit Card,No,1,9.5,1,0,Yes,5,Midwest,0
CUST-00288,42,43.68,Monthly,PayPal,Yes,0,6.8,2,0,No,3,South,0
CUST-00289,40,51.54,Annual,PayPal,Yes,1,4.6,3,1,No,4,West,0
CUST-00290,35,44.75,Monthly,Bank Transfer,No,1,12.0,3,0,No,5,Midwest,0
CUST-00291,59,35.0,Annual,Credit Card,No,1,8.1,1,0,No,4,Northeast,0
CUST-00292,20,47.77,Annual,Credit Card,Yes,2,8.0,3,0,Yes,3,Midwest,0
CUST-00293,69,96.25,Annual,Bank Transfer,No,0,6.2,1,2,Yes,3,Northeast,0
